İsim,Ay,Durum,Puan /5,Type,Tür,Yazar,Yıl
Aşk Filmlerinin Unutulmaz Yönetmeni,,,⭐️⭐️⭐️⭐️⭐️,Film,,,2024
Muhsin Bey,,,⭐️⭐️⭐️⭐️⭐️,Film,,,2024
Vahşi Gelin,,,⭐️⭐️⭐️⭐️,Film,,,2024
Beyoğlunun Arka Yakası,,Bitti,⭐️⭐️⭐️⭐️,Film,,,2024
Kırık Bir Aşk Hikayesi,,Bitti,⭐️⭐️⭐️⭐️,Film,,,2024
Merak Çağı,Ağustos,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Fikir,Richard Holmes,2024
Fahim Bey ve Biz,Temmuz,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Abdülhak Şinasi Hisar,2024
Gölge Kral,Ağustos,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Maaza Mengiste,2024
Cumhuriyet Dönemi Türkiye’sinde Bilim -I-,Ağustos,Bitti,⭐️⭐️⭐️⭐️,Kitap,Akademik,İnan Kalaycıoğulları,2024
Yaşamın Kıyısında,Eylül,Bitti,⭐️⭐️⭐️⭐️⭐️,Film,,Fatih Akın,2024
Aftersun,,Bitti,⭐️⭐️⭐️,Film,,,2024
Perfect Days,,Bitti,⭐️⭐️⭐️,Film,,,2024
Yaşarken ve Ölürken,Eylül,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Selim İleri,2024
Vukuat,Kasım,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Orhan Kemal,2024
Aylaklar,Kasım,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Melih Cevdet Anday,2024
İnsanlık Durumu,Ocak,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Andre Malraux,2025
Fundamentals of the Immune System,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Akademik,Cheryl Natividad,2025
Ölmek Kolaydır Sevmekten,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Ahmet Altan,2025
Bilginin Yolculuğu,Mart,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Akademik,Violet Mollet,2025
Mindhunter,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,2025
The Americans,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
DareDevil,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Rome,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
The Office,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Friends,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
HIMYM,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Game of Thrones,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
White Lotus,,Bitti,⭐️⭐️⭐️,Dizi,,,
Upload,,Bitti,⭐️⭐️⭐️,Dizi,,,
Six Feet Under,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Sopranos,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
House of Dragon,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Chernobyl,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Succession,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
True Detective 1.Sezon,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Spartacus,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Boardwalk Empire,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Invincible,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Reacher,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Breaking Bad,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Person of Interest,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Avatar: Son Hava Bükücü,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Rick and Morty,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Sherlock,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Better Cal Saul,,Başlanacak,,Dizi,,,
Fargo,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Şahsiyet,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
BoJack Horseman,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Narcos,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Black Mirror,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Fleabag,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
After Life,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Mad Men,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Blue Eye Samurai,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
House MD,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
One Punch Man,,Bitti,⭐️⭐️⭐️,Dizi,,,
The Boys,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Stranger Things,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
This is Us,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
House of Cards,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Mr Inbetween,,Bitti,⭐️⭐️⭐️,Dizi,,,
Primal,,Başlanacak,,Dizi,,,
Shogun,,Başlanacak,,Dizi,,,
Penguin,,Bitti,⭐️⭐️⭐️⭐️⭐️,Dizi,,,
Mr Robot,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
The Bear,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Sons of Anarchy,,Başlanacak,,Dizi,,,
Shameless,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Hannibal,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Big Bang Theory,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Gillmore Girls,,Bitti,⭐️⭐️⭐️⭐️,Dizi,,,
Kızıl Darı Tarlaları,Haziran,Bitti,⭐️⭐️⭐️,Kitap,Roman,Mo Yan,2025
You just need to lose weight,Temmuz,Bitti,⭐️⭐️⭐️⭐️,Kitap,Akademik,Aubrey Gordon,2025
Pedro Paramp,Nisan,Bitti,⭐️⭐️⭐️,Kitap,Roman,Juan Rulfo,2026
Factfullness,Mayıs,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Fikir,Hans Rosling,2026
